
N = 8 (state dim 16), T = 4000, sigma = 0.0001
  m | full-A err | excited-sub err | cond(X) | v-rows | i-rows | fire/step
  1 |  8.140e-01 |       2.426e-06 |  4.0e+18 |  0.747 |  0.943 | 0.173
  2 |  7.061e-01 |       3.838e-06 |  3.9e+17 |  0.614 |  0.872 | 0.083
  4 |  5.746e-01 |       3.695e-06 |  3.4e+17 |  0.505 |  0.702 | 0.466
  8 |  1.800e-05 |       1.800e-05 |  3.7e+02 |  0.000 |  0.000 | 0.421

N = 32 (state dim 64), T = 4000, sigma = 0.0001
  m | full-A err | excited-sub err | cond(X) | v-rows | i-rows | fire/step
  1 |  8.960e-01 |       1.262e-06 |  2.4e+19 |  0.850 |  0.988 | 0.155
  2 |  8.669e-01 |       2.042e-06 |  1.1e+19 |  0.812 |  0.976 | 0.240
  4 |  7.693e-01 |       1.575e-06 |  1.5e+18 |  0.674 |  0.943 | 0.351
  8 |  7.073e-01 |       3.225e-06 |  1.5e+18 |  0.618 |  0.869 | 0.238
 16 |  5.783e-01 |       5.471e-06 |  8.5e+17 |  0.504 |  0.713 | 0.201
 32 |  2.316e-04 |       2.316e-04 |  3.2e+04 |  0.000 |  0.000 | 0.369
